Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
10248,8089,21,Heat,3/10/2022,58.2,53.2,9,2,27,20,0,0,0,0,0,0,0,0,8731,1225
10249,6608,20,Labor,3/5/2022,49.8,47.3,5,2,32,0,0,0,0,0,0,0,0,0,9009,1199
10250,7015,20,Insemination,2/1/2022,49.5,48.3,2,2,64,13,1,13,0,ROBERTO-ADAN,EXPO,0,3/24/2022,0,7963,2649
10252,6101,20,Labor,3/2/2022,51,51.4,-1,2,35,0,0,0,0,0,0,0,0,0,8301,1558
10254,6055,19,Heat,1/18/2022,62.3,62.5,0,2,78,55,0,0,0,0,0,0,0,0,9603,4161
10255,7601,16,Pregnacy,5/4/2021,26.7,24.1,11,1,337,215,2,215,215,MIGUEL-MAURICIO,OLAF,0,9/3/2021,42.3,0,9998
10258,2308,19,Insemination,1/23/2022,47.8,47.9,0,2,73,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,7800,3006
10261,2547,21,Labor,3/17/2022,49.6,52.6,-6,2,20,0,0,0,0,0,0,0,0,0,8573,869
10262,6190,21,Labor,3/8/2022,50.7,48.7,4,2,29,0,0,0,0,0,0,0,0,0,8791,1179
10264,7052,10,Pregnacy,11/9/2021,45.3,42.8,6,1,148,73,1,73,73,MIGUEL-JAIME,DECLARATION,0,1/23/2022,0,0,5556
10265,6732,20,Insemination,2/4/2022,43.2,42.9,1,2,61,5,1,5,0,DAVID-ADAN,FALCO,0,4/1/2022,0,7049,2059
10267,3674,12,Pregnacy,7/6/2021,32.6,27.5,18,1,274,165,3,165,165,JUAN DELGADO-JAIME,MARADONA,0,10/23/2021,31.4,0,7762
10270,5717,20,Insemination,2/2/2022,53.7,49.8,8,2,63,15,1,15,0,ROBERTO-DAVID,EXPO,0,3/22/2022,0,8556,2833
10271,7130,21,Labor,3/7/2022,39.9,44.5,-10,2,30,0,0,0,0,0,0,0,0,0,7398,1120
10272,3693,21,Labor,3/17/2022,46.9,42.6,10,2,20,0,0,0,0,0,0,0,0,0,7884,681
10274,3638,20,Labor,2/11/2022,50.1,48.9,2,2,54,0,0,0,0,0,0,0,0,0,7452,2368
